ConsumedService,ResourceType,ServiceName,ServiceCategory,ServiceSubcategory,PublisherName,PublisherType,Environment,ServiceModel
microsoft.insights,microsoft.insights/actiongroups,Azure Monitor,Management and Governance,Observability,Microsoft,Cloud Provider,Cloud,SaaS
microsoft.insights,microsoft.insights/components,Azure Monitor,Management and Governance,Observability,Microsoft,Cloud Provider,Cloud,SaaS
microsoft.insights,microsoft.insights/datacollectionrules,Azure Monitor,Management and Governance,Observability,Microsoft,Cloud Provider,Cloud,SaaS
microsoft.insights,microsoft.insights/metricalerts,Azure Monitor,Management and Governance,Observability,Microsoft,Cloud Provider,Cloud,SaaS
microsoft.insights,microsoft.insights/pricings,Azure Monitor,Management and Governance,Observability,Microsoft,Cloud Provider,Cloud,SaaS
microsoft.insights,microsoft.insights/scheduledqueryrules,Azure Monitor,Management and Governance,Observability,Microsoft,Cloud Provider,Cloud,SaaS
microsoft.iotcentral,microsoft.iotcentral/iotapps,Azure IoT Central,Internet of Things,IoT Platforms,Microsoft,Cloud Provider,Cloud,SaaS
microsoft.iotoperations,microsoft.iotoperations/instances,Azure IoT Operations,Internet of Things,IoT Platforms,Microsoft,Cloud Provider,Hybrid,SaaS
microsoft.iotsecurity,microsoft.iotsecurity/defendersettings,Microsoft Defender for IoT,Internet of Things,IoT Platforms,Microsoft,Cloud Provider,Hybrid,SaaS
microsoft.keyvault,microsoft.keyvault/hsmpools,Key Vault,Security,Secret Management,Microsoft,Cloud Provider,Cloud,PaaS
microsoft.keyvault,microsoft.keyvault/managedhsms,Key Vault,Security,Secret Management,Microsoft,Cloud Provider,Cloud,PaaS
microsoft.keyvault,microsoft.keyvault/vaults,Key Vault,Security,Secret Management,Microsoft,Cloud Provider,Cloud,PaaS
microsoft.kubernetes,microsoft.kubernetes/connectedclusters,Azure Arc,Multicloud,Multicloud Integration,Microsoft,Cloud Provider,Hybrid,SaaS
microsoft.kubernetesconfiguration,microsoft.containerservice/managedclusters,Azure Kubernetes Service,Compute,Containers,Microsoft,Cloud Provider,Cloud,PaaS
microsoft.kusto,microsoft.kusto/clusters,Azure Data Explorer,Analytics,Analytics Platforms,Microsoft,Cloud Provider,Cloud,PaaS
microsoft.labservices,microsoft.labservices/labaccounts,Azure Lab Services,Compute,End User Computing,Microsoft,Cloud Provider,Cloud,PaaS
microsoft.labservices,microsoft.labservices/labs,Azure Lab Services,Compute,End User Computing,Microsoft,Cloud Provider,Cloud,PaaS
microsoft.loadtestservice,microsoft.loadtestservice/loadtests,Azure Load Testing,Developer Tools,Quality Assurance,Microsoft,Cloud Provider,Cloud,PaaS
microsoft.logic,microsoft.logic/integrationaccounts,Logic Apps,Integration,Workflow Orchestration,Microsoft,Cloud Provider,Cloud,PaaS
microsoft.logic,microsoft.logic/integrationserviceenvironments,Logic Apps,Integration,Workflow Orchestration,Microsoft,Cloud Provider,Cloud,PaaS
microsoft.logic,microsoft.logic/workflows,Logic Apps,Integration,Workflow Orchestration,Microsoft,Cloud Provider,Cloud,PaaS
microsoft.machinelearning,microsoft.machinelearning/commitmentplans,Azure Machine Learning,AI and Machine Learning,Machine Learning,Microsoft,Cloud Provider,Cloud,PaaS
microsoft.machinelearning,microsoft.machinelearning/workspaces,Azure Machine Learning,AI and Machine Learning,Machine Learning,Microsoft,Cloud Provider,Cloud,IaaS
microsoft.machinelearningservices,microsoft.machinelearningservices/registries,Azure Machine Learning,AI and Machine Learning,Machine Learning,Microsoft,Cloud Provider,Cloud,PaaS
microsoft.machinelearningservices,microsoft.machinelearningservices/workspaces,Azure Machine Learning,AI and Machine Learning,Machine Learning,Microsoft,Cloud Provider,Cloud,PaaS
microsoft.maps,microsoft.maps/accounts,Azure Maps,Web,Other (Web),Microsoft,Cloud Provider,Cloud,PaaS
microsoft.media,microsoft.media/mediaservices,Azure Media Services,Media,Media Streaming,Microsoft,Cloud Provider,Cloud,PaaS
microsoft.media,microsoft.media/videoanalyzers,Azure Media Services,Media,Media Streaming,Microsoft,Cloud Provider,Cloud,PaaS
microsoft.migrate,microsoft.migrate/movecollections,Azure Migrate,Migration,Resource Migration,Microsoft,Cloud Provider,Cloud,SaaS
microsoft.mixedreality,microsoft.mixedreality/objectanchorsaccounts,Object Anchors,Media,Mixed Reality,Microsoft,Cloud Provider,Cloud,PaaS
microsoft.mixedreality,microsoft.mixedreality/remoterenderingaccounts,Remote Rendering,Media,Mixed Reality,Microsoft,Cloud Provider,Cloud,PaaS
microsoft.mixedreality,microsoft.mixedreality/spatialanchorsaccounts,Spatial Anchors,Media,Mixed Reality,Microsoft,Cloud Provider,Cloud,PaaS
microsoft.mobilenetwork,microsoft.mobilenetwork/mobilenetworks,Azure Private 5G Core,Networking,Network Connectivity,Microsoft,Cloud Provider,Cloud,IaaS
microsoft.mobilenetwork,microsoft.mobilenetwork/packetcorecontrolplanes,Azure Private 5G Core,Networking,Network Connectivity,Microsoft,Cloud Provider,Cloud,IaaS
microsoft.modsimworkbench,microsoft.modsimworkbench/workbenches,Azure Modeling and Simulation Workbench,Analytics,Analytics Platforms,Microsoft,Cloud Provider,Cloud,PaaS
microsoft.monitor,microsoft.monitor/accounts,Azure Monitor,Management and Governance,Observability,Microsoft,Cloud Provider,Cloud,PaaS
microsoft.netapp,microsoft.netapp/netappaccounts,Azure NetApp Files,Storage,File Storage,Microsoft,Cloud Provider,Cloud,PaaS
microsoft.netapp,microsoft.netapp/netappaccounts/capacitypools,Azure NetApp Files,Storage,File Storage,Microsoft,Cloud Provider,Cloud,PaaS
microsoft.network,microsoft.network/applicationgateways,Application Gateway,Networking,Application Networking,Microsoft,Cloud Provider,Cloud,IaaS
microsoft.network,microsoft.network/azurefirewalls,Azure Firewall,Networking,Network Security,Microsoft,Cloud Provider,Cloud,IaaS
microsoft.network,microsoft.network/bastionhosts,Azure Bastion,Networking,Network Security,Microsoft,Cloud Provider,Cloud,PaaS
microsoft.network,microsoft.network/connections,Virtual Network,Networking,Network Infrastructure,Microsoft,Cloud Provider,Cloud,IaaS
microsoft.network,microsoft.network/ddosprotectionplans,Azure DDoS Protection,Networking,Network Security,Microsoft,Cloud Provider,Cloud,SaaS
microsoft.network,microsoft.network/dnsforwardingrulesets,Azure DNS,Networking,Network Routing,Microsoft,Cloud Provider,Cloud,PaaS
microsoft.network,microsoft.network/dnsresolvers,Azure DNS,Networking,Network Routing,Microsoft,Cloud Provider,Cloud,PaaS
microsoft.network,microsoft.network/dnsresolvers/outboundendpoints,Azure DNS,Networking,Network Routing,Microsoft,Cloud Provider,Cloud,PaaS
microsoft.network,microsoft.network/dnszones,Azure DNS,Networking,Network Routing,Microsoft,Cloud Provider,Cloud,PaaS
microsoft.network,microsoft.network/expressroutecircuits,Azure ExpressRoute,Networking,Network Routing,Microsoft,Cloud Provider,Cloud,IaaS
microsoft.network,microsoft.network/expressroutegateways,Azure ExpressRoute,Networking,Network Routing,Microsoft,Cloud Provider,Cloud,IaaS
microsoft.network,microsoft.network/expressrouteports,Azure ExpressRoute,Networking,Network Routing,Microsoft,Cloud Provider,Cloud,IaaS
microsoft.network,microsoft.network/firewallpolicies,Azure Firewall Manager,Networking,Network Security,Microsoft,Cloud Provider,Cloud,PaaS
microsoft.network,microsoft.network/frontdoors,Azure Front Door,Networking,Content Delivery,Microsoft,Cloud Provider,Cloud,SaaS
microsoft.network,microsoft.network/frontdoorwebapplicationfirewallpolicies,Azure Front Door,Networking,Content Delivery,Microsoft,Cloud Provider,Cloud,SaaS
microsoft.network,microsoft.network/loadbalancers,Load Balancer,Networking,Application Networking,Microsoft,Cloud Provider,Cloud,IaaS
microsoft.network,microsoft.network/natgateways,Azure NAT Gateway,Networking,Network Connectivity,Microsoft,Cloud Provider,Cloud,IaaS
microsoft.network,microsoft.network/networkinterfaces,Virtual Network,Networking,Network Infrastructure,Microsoft,Cloud Provider,Cloud,IaaS
microsoft.network,microsoft.network/networkmanagers,Azure Virtual Network Manager,Networking,Network Infrastructure,Microsoft,Cloud Provider,Cloud,PaaS
microsoft.network,microsoft.network/networksecuritygroups,Virtual Network,Networking,Network Infrastructure,Microsoft,Cloud Provider,Cloud,IaaS
microsoft.network,microsoft.network/networkvirtualappliances,Virtual Network,Networking,Network Infrastructure,Microsoft,Cloud Provider,Cloud,IaaS
microsoft.network,microsoft.network/networkwatchers,Network Watcher,Networking,Network Infrastructure,Microsoft,Cloud Provider,Cloud,IaaS
microsoft.network,microsoft.network/networkwatchers/connectionmonitors,Network Watcher,Networking,Network Infrastructure,Microsoft,Cloud Provider,Cloud,IaaS
microsoft.network,microsoft.network/networkwatchers/flowlogs,Network Watcher,Networking,Network Infrastructure,Microsoft,Cloud Provider,Cloud,IaaS
microsoft.network,microsoft.network/p2svpngateways,VPN Gateway,Networking,Network Connectivity,Microsoft,Cloud Provider,Cloud,IaaS
microsoft.network,microsoft.network/privatednszones,Azure Private Link,Networking,Network Connectivity,Microsoft,Cloud Provider,Cloud,IaaS
microsoft.network,microsoft.network/privateendpoints,Azure Private Link,Networking,Network Connectivity,Microsoft,Cloud Provider,Cloud,IaaS
microsoft.network,microsoft.network/publicipaddresses,Virtual Network,Networking,Network Infrastructure,Microsoft,Cloud Provider,Cloud,IaaS
microsoft.network,microsoft.network/publicipprefixes,Virtual Network,Networking,Network Infrastructure,Microsoft,Cloud Provider,Cloud,IaaS
microsoft.network,microsoft.network/trafficmanagerprofiles,Traffic Manager,Networking,Application Networking,Microsoft,Cloud Provider,Cloud,IaaS
microsoft.network,microsoft.network/virtualhubs,Virtual WAN,Networking,Network Connectivity,Microsoft,Cloud Provider,Cloud,IaaS
microsoft.network,microsoft.network/virtualnetworkgateways,Virtual Network,Networking,Network Infrastructure,Microsoft,Cloud Provider,Cloud,IaaS
microsoft.network,microsoft.network/virtualnetworkgateways/connections,Virtual Network,Networking,Network Infrastructure,Microsoft,Cloud Provider,Cloud,IaaS
microsoft.network,microsoft.network/virtualnetworks,Virtual Network,Networking,Network Infrastructure,Microsoft,Cloud Provider,Cloud,IaaS
microsoft.network,microsoft.network/vpngateways,VPN Gateway,Networking,Network Connectivity,Microsoft,Cloud Provider,Cloud,IaaS
microsoft.networkanalytics,microsoft.networkanalytics/dataconnectors,Azure Monitor,Management and Governance,Observability,Microsoft,Cloud Provider,Cloud,PaaS
microsoft.networkanalytics,microsoft.networkanalytics/dataproducts,Azure Monitor,Management and Governance,Observability,Microsoft,Cloud Provider,Cloud,PaaS
microsoft.networkcloud,microsoft.networkcloud/baremetalmachines,Azure Operator Nexus,Compute,Virtual Machines,Microsoft,Cloud Provider,Hybrid,IaaS
microsoft.networkfunction,microsoft.networkfunction/azuretrafficcollectors,Azure ExpressRoute,Networking,Network Routing,Microsoft,Cloud Provider,Cloud,IaaS
microsoft.notificationhubs,microsoft.notificationhubs/namespaces,Notification Hubs,Integration,Messaging,Microsoft,Cloud Provider,Cloud,PaaS
microsoft.nutanix,microsoft.nutanix/nodes,Azure VMWare Solution,Compute,Virtual Machines,Microsoft,Cloud Provider,Cloud,IaaS
microsoft.openenergyplatform,microsoft.openenergyplatform/energyservices,Azure Data Manager for Energy,Analytics,Analytics Platforms,Microsoft,Cloud Provider,Cloud,PaaS
microsoft.operationalinsights,microsoft.operationalinsights/azurefirewall,Azure Monitor,Management and Governance,Observability,Microsoft,Cloud Provider,Cloud,PaaS
microsoft.operationalinsights,microsoft.operationalinsights/clusters,Azure Monitor,Management and Governance,Observability,Microsoft,Cloud Provider,Cloud,PaaS
microsoft.operationalinsights,microsoft.operationalinsights/networksecuritygroups,Azure Monitor,Management and Governance,Observability,Microsoft,Cloud Provider,Cloud,PaaS
microsoft.operationalinsights,microsoft.operationalinsights/p2svpngateways,Azure Monitor,Management and Governance,Observability,Microsoft,Cloud Provider,Cloud,PaaS
microsoft.operationalinsights,microsoft.operationalinsights/virtualnetworkgateways,Azure Monitor,Management and Governance,Observability,Microsoft,Cloud Provider,Cloud,SaaS
microsoft.operationalinsights,microsoft.operationalinsights/workspaces,Azure Monitor,Management and Governance,Observability,Microsoft,Cloud Provider,Cloud,PaaS
microsoft.orbital,microsoft.orbital/groundstations,Azure Orbital,Networking,Network Connectivity,Microsoft,Cloud Provider,Cloud,SaaS
microsoft.orbital,microsoft.orbital/spacecrafts,Azure Orbital,Networking,Network Connectivity,Microsoft,Cloud Provider,Cloud,SaaS
microsoft.orbital,microsoft.orbital/terminals,Azure Orbital,Networking,Network Connectivity,Microsoft,Cloud Provider,Cloud,SaaS
microsoft.peering,microsoft.peering/peerings,Azure Peering Service,Networking,Network Connectivity,Microsoft,Cloud Provider,Cloud,IaaS
microsoft.powerbidedicated,microsoft.powerbidedicated/autoscalevcores,Power BI Embedded,Analytics,Business Intelligence,Microsoft,Cloud Provider,Cloud,PaaS
microsoft.powerbidedicated,microsoft.powerbidedicated/capacities,Power BI Embedded,Analytics,Business Intelligence,Microsoft,Cloud Provider,Cloud,PaaS
microsoft.powerplatform,microsoft.powerplatform/accounts,Power Platforms,Business Applications,Productivity and Collaboration,Microsoft,Cloud Provider,Cloud,SaaS
microsoft.purview,microsoft.purview/accounts,Microsoft Purview,Management and Governance,Data Governance,Microsoft,Cloud Provider,Cloud,PaaS
microsoft.quantum,microsoft.quantum/workspaces,Azure Quantum,Compute,Quantum,Microsoft,Cloud Provider,Cloud,PaaS
microsoft.recommendationsservice,microsoft.recommendationsservice/accounts,Intelligent Recommendations,AI and Machine Learning,AI Platforms,Microsoft,Cloud Provider,Cloud,PaaS
microsoft.recoveryservices,microsoft.recoveryservices/vaults,Azure Site Recovery,Management and Governance,Disaster Recovery,Microsoft,Cloud Provider,Cloud,SaaS
microsoft.relay,microsoft.relay/namespaces,Azure Relay,Integration,Messaging,Microsoft,Cloud Provider,Cloud,IaaS
microsoft.saas,microsoft.saas/resources,Azure Marketplace,Other,Other (Other),Microsoft,Marketplace,Cloud,SaaS
microsoft.saas,microsoft.saas/saasresources,Azure Marketplace,Other,Other (Other),Microsoft,Marketplace,Cloud,SaaS
microsoft.search,microsoft.search/searchservices,Azure AI Search,Analytics,Search,Microsoft,Cloud Provider,Cloud,SaaS
microsoft.search,microsoft.search/searchservices/sharedprivatelinkresources,Azure AI Search,Analytics,Search,Microsoft,Cloud Provider,Cloud,SaaS
microsoft.security,microsoft.apimanagement/service,API Management,Integration,API Management,Microsoft,Cloud Provider,Cloud,PaaS
microsoft.security,microsoft.security/mdeservers,Microsoft Defender for Endpoint,Management and Governance,Endpoint Management,Microsoft,Cloud Provider,Cloud,PaaS
microsoft.security,microsoft.security/pricings,Microsoft Defender for Cloud,Security,Security Posture Management,Microsoft,Cloud Provider,Cloud,SaaS
microsoft.security,microsoft.security/securityconnectors,Microsoft Defender for Cloud,Security,Security Posture Management,Microsoft,Cloud Provider,Cloud,PaaS
microsoft.securitycopilot,microsoft.securitycopilot/capacities,Microsoft Copilot for Security,Security,Security Posture Management,Microsoft,Cloud Provider,Cloud,SaaS
microsoft.servicebus,microsoft.servicebus/namespaces,Service Bus,Integration,Messaging,Microsoft,Cloud Provider,Cloud,PaaS
microsoft.servicenetworking,microsoft.servicenetworking/trafficcontrollers,Application Gateway for Containers,Networking,Application Networking,Microsoft,Cloud Provider,Cloud,IaaS
microsoft.signalrservice,microsoft.signalrservice/signalr,Azure SignalR Service,Web,Other (Web),Microsoft,Cloud Provider,Cloud,PaaS
microsoft.signalrservice,microsoft.signalrservice/webpubsub,Azure SignalR Service,Web,Other (Web),Microsoft,Cloud Provider,Cloud,PaaS
microsoft.solutions,microsoft.solutions/applications,Azure Managed Applications,Other,Other (Other),Microsoft,Cloud Provider,Cloud,PaaS
microsoft.sql,microsoft.sql/instancepools,Azure SQL Database,Databases,Relational Databases,Microsoft,Cloud Provider,Cloud,PaaS
microsoft.sql,microsoft.sql/locations,Azure SQL Database,Databases,Relational Databases,Microsoft,Cloud Provider,Cloud,PaaS
microsoft.sql,microsoft.sql/longtermretentionmanagedinstances,Azure SQL Database,Databases,Relational Databases,Microsoft,Cloud Provider,Cloud,PaaS
microsoft.sql,microsoft.sql/longtermretentionservers,Azure SQL Database,Databases,Relational Databases,Microsoft,Cloud Provider,Cloud,PaaS
microsoft.sql,microsoft.sql/longtermretentionservers/longtermretentiondatabases,Azure SQL Database,Databases,Relational Databases,Microsoft,Cloud Provider,Cloud,PaaS
microsoft.sql,microsoft.sql/managedinstances,Azure SQL Database,Databases,Relational Databases,Microsoft,Cloud Provider,Cloud,PaaS
microsoft.sql,microsoft.sql/servers,Azure SQL Database,Databases,Relational Databases,Microsoft,Cloud Provider,Cloud,PaaS
microsoft.sql,microsoft.sql/servers/databases,Azure SQL Database,Databases,Relational Databases,Microsoft,Cloud Provider,Cloud,PaaS
microsoft.sql,microsoft.sql/servers/elasticpools,Azure SQL Database,Databases,Relational Databases,Microsoft,Cloud Provider,Cloud,PaaS
microsoft.storage,microsoft.storage/storageaccounts,Storage Accounts,Storage,Storage Platforms,Microsoft,Cloud Provider,Cloud,IaaS
microsoft.storage,microsoft.storage/storageaccounts/blobservices,Storage Accounts,Storage,Storage Platforms,Microsoft,Cloud Provider,Cloud,IaaS
microsoft.storage,microsoft.storage/storageaccounts/fileservices,Storage Accounts,Storage,Storage Platforms,Microsoft,Cloud Provider,Cloud,IaaS
microsoft.storage,microsoft.storage/storageaccounts/queueservices,Storage Accounts,Storage,Storage Platforms,Microsoft,Cloud Provider,Cloud,IaaS
microsoft.storage,microsoft.storage/storageaccounts/tableservices,Storage Accounts,Storage,Storage Platforms,Microsoft,Cloud Provider,Cloud,IaaS
microsoft.storagecache,microsoft.storagecache/amlfilesystems,Azure HPC Cache,Storage,Storage Platforms,Microsoft,Cloud Provider,Hybrid,IaaS
microsoft.storagecache,microsoft.storagecache/caches,Azure HPC Cache,Storage,Storage Platforms,Microsoft,Cloud Provider,Hybrid,IaaS
microsoft.storagesync,microsoft.storagesync/storagesyncservices,Azure File Sync,Migration,Data Transfer,Microsoft,Cloud Provider,Hybrid,PaaS
microsoft.storsimple,microsoft.storsimple/managers,Azure StorSimple,Storage,Storage Platforms,Microsoft,Cloud Provider,Hybrid,IaaS
microsoft.streamanalytics,microsoft.streamanalytics/clusters,Azure Stream Analytics,Analytics,Streaming Analytics,Microsoft,Cloud Provider,Cloud,PaaS
microsoft.streamanalytics,microsoft.streamanalytics/streamingjobs,Azure Stream Analytics,Analytics,Streaming Analytics,Microsoft,Cloud Provider,Cloud,PaaS
microsoft.synapse,microsoft.synapse/workspaces,Azure Synapse Analytics,Analytics,Analytics Platforms,Microsoft,Cloud Provider,Cloud,PaaS
microsoft.synapse,microsoft.synapse/workspaces/bigdatapools,Azure Synapse Analytics,Analytics,Analytics Platforms,Microsoft,Cloud Provider,Cloud,PaaS
microsoft.synapse,microsoft.synapse/workspaces/kustopools,Azure Synapse Analytics,Analytics,Analytics Platforms,Microsoft,Cloud Provider,Cloud,PaaS
microsoft.synapse,microsoft.synapse/workspaces/sqlpools,Azure Synapse Analytics,Analytics,Analytics Platforms,Microsoft,Cloud Provider,Cloud,PaaS
microsoft.syntex,microsoft.syntex/accounts,Microsoft Syntex,AI and Machine Learning,AI Platforms,Microsoft,Cloud Provider,Cloud,SaaS
microsoft.syntex,microsoft.syntex/documentprocessors,Microsoft Syntex,AI and Machine Learning,AI Platforms,Microsoft,Cloud Provider,Cloud,SaaS
microsoft.teams,microsoft.teams/telephonyservices,Microsoft Teams,Business Applications,Productivity and Collaboration,Microsoft,Cloud Provider,Cloud,SaaS
microsoft.testbase,microsoft.testbase/testbaseaccounts,Test Base for Microsoft 365,Developer Tools,Quality Assurance,Microsoft,Cloud Provider,Cloud,PaaS
microsoft.timeseriesinsights,microsoft.timeseriesinsights/environments,Azure Time Series Insights,Internet of Things,IoT Analytics,Microsoft,Cloud Provider,Cloud,PaaS
microsoft.verifiedid,microsoft.verifiedid/authorities,Microsoft Entra Verified ID,Identity,Identity and Access Management,Microsoft,Cloud Provider,Cloud,SaaS
microsoft.videoindexer,microsoft.videoindexer/accounts,Azure AI Video Indexer,AI and Machine Learning,AI Platforms,Microsoft,Cloud Provider,Cloud,SaaS
microsoft.visualstudio,microsoft.visualstudio/organizations,Azure DevOps,Developer Tools,Developer Platforms,Microsoft,Cloud Provider,Cloud,SaaS
microsoft.voiceservices,microsoft.voiceservices/communicationsgateways,Azure Communitcations Gateway,Integration,Messaging,Microsoft,Cloud Provider,Cloud,PaaS
microsoft.web,microsoft.web/connections,Azure App Service,Web,Application Platforms,Microsoft,Cloud Provider,Cloud,PaaS
microsoft.web,microsoft.web/containerapps,Azure App Service,Web,Application Platforms,Microsoft,Cloud Provider,Cloud,PaaS
microsoft.web,microsoft.web/hostingenvironments,Azure App Service,Web,Application Platforms,Microsoft,Cloud Provider,Cloud,PaaS
microsoft.web,microsoft.web/serverfarms,Azure App Service,Web,Application Platforms,Microsoft,Cloud Provider,Cloud,PaaS
microsoft.web,microsoft.web/sites,Azure App Service,Web,Application Platforms,Microsoft,Cloud Provider,Cloud,PaaS
microsoft.web,microsoft.web/sites/slots,Azure App Service,Web,Application Platforms,Microsoft,Cloud Provider,Cloud,PaaS
microsoft.web,microsoft.web/staticsites,Azure App Service,Web,Application Platforms,Microsoft,Cloud Provider,Cloud,PaaS
microsoft.web.admin,microsoft.web.admin/role,Azure App Service,Web,Application Platforms,Microsoft,Cloud Provider,Cloud,PaaS
microsoft.windowsiot,microsoft.windowsiot/deviceservices,Windows for IoT,Internet of Things,IoT Platforms,Microsoft,Cloud Provider,Cloud,PaaS
nginx.nginxplus,nginx.nginxplus/nginxdeployments,NGINX Plus,Networking,Application Networking,NGINX,Marketplace,Cloud,PaaS
northcentralus,microsoft.sql/locations,Azure SQL Database,Databases,Relational Databases,Microsoft,Cloud Provider,Cloud,PaaS
northeurope,microsoft.sql/locations,Azure SQL Database,Databases,Relational Databases,Microsoft,Cloud Provider,Cloud,PaaS
playfabbillingservice,playfabbillingservice/blobs,Azure PlayFab,Media,Gaming,Microsoft,Cloud Provider,Cloud,SaaS
playfabbillingservice,playfabbillingservice/catalogrequests,Azure PlayFab,Media,Gaming,Microsoft,Cloud Provider,Cloud,SaaS
playfabbillingservice,playfabbillingservice/compute,Azure PlayFab,Media,Gaming,Microsoft,Cloud Provider,Cloud,SaaS
playfabbillingservice,playfabbillingservice/egress,Azure PlayFab,Media,Gaming,Microsoft,Cloud Provider,Cloud,SaaS
playfabbillingservice,playfabbillingservice/events,Azure PlayFab,Media,Gaming,Microsoft,Cloud Provider,Cloud,SaaS
playfabbillingservice,playfabbillingservice/executiontimegbs,Azure PlayFab,Media,Gaming,Microsoft,Cloud Provider,Cloud,SaaS
playfabbillingservice,playfabbillingservice/filestorage,Azure PlayFab,Media,Gaming,Microsoft,Cloud Provider,Cloud,SaaS
playfabbillingservice,playfabbillingservice/flatfee,Azure PlayFab,Media,Gaming,Microsoft,Cloud Provider,Cloud,SaaS
playfabbillingservice,playfabbillingservice/insightscredits,Azure PlayFab,Media,Gaming,Microsoft,Cloud Provider,Cloud,SaaS
playfabbillingservice,playfabbillingservice/inventoryreadrequests,Azure PlayFab,Media,Gaming,Microsoft,Cloud Provider,Cloud,SaaS
playfabbillingservice,playfabbillingservice/inventorywriterequests,Azure PlayFab,Media,Gaming,Microsoft,Cloud Provider,Cloud,SaaS
playfabbillingservice,playfabbillingservice/itemstorage,Azure PlayFab,Media,Gaming,Microsoft,Cloud Provider,Cloud,SaaS
playfabbillingservice,playfabbillingservice/lobbyrequests,Azure PlayFab,Media,Gaming,Microsoft,Cloud Provider,Cloud,SaaS
playfabbillingservice,playfabbillingservice/matchmakingrequests,Azure PlayFab,Media,Gaming,Microsoft,Cloud Provider,Cloud,SaaS
playfabbillingservice,playfabbillingservice/messages,Azure PlayFab,Media,Gaming,Microsoft,Cloud Provider,Cloud,SaaS
playfabbillingservice,playfabbillingservice/partyconnectivity,Azure PlayFab,Media,Gaming,Microsoft,Cloud Provider,Cloud,SaaS
playfabbillingservice,playfabbillingservice/partyvoice,Azure PlayFab,Media,Gaming,Microsoft,Cloud Provider,Cloud,SaaS
playfabbillingservice,playfabbillingservice/playstream,Azure PlayFab,Media,Gaming,Microsoft,Cloud Provider,Cloud,SaaS
playfabbillingservice,playfabbillingservice/reads,Azure PlayFab,Media,Gaming,Microsoft,Cloud Provider,Cloud,SaaS
playfabbillingservice,playfabbillingservice/storage,Azure PlayFab,Media,Gaming,Microsoft,Cloud Provider,Cloud,SaaS
playfabbillingservice,playfabbillingservice/telemetry,Azure PlayFab,Media,Gaming,Microsoft,Cloud Provider,Cloud,SaaS
playfabbillingservice,playfabbillingservice/totalexecution,Azure PlayFab,Media,Gaming,Microsoft,Cloud Provider,Cloud,SaaS
playfabbillingservice,playfabbillingservice/writes,Azure PlayFab,Media,Gaming,Microsoft,Cloud Provider,Cloud,SaaS
southafricanorth,microsoft.sql/locations,Azure SQL Database,Databases,Relational Databases,Microsoft,Cloud Provider,Cloud,PaaS
southcentralus,microsoft.sql/locations,Azure SQL Database,Databases,Relational Databases,Microsoft,Cloud Provider,Cloud,PaaS
southeastasia,microsoft.sql/locations,Azure SQL Database,Databases,Relational Databases,Microsoft,Cloud Provider,Cloud,PaaS
southindia,microsoft.sql/locations,Azure SQL Database,Databases,Relational Databases,Microsoft,Cloud Provider,Cloud,PaaS
uaenorth,microsoft.sql/locations,Azure SQL Database,Databases,Relational Databases,Microsoft,Cloud Provider,Cloud,PaaS
uksouth,microsoft.sql/locations,Azure SQL Database,Databases,Relational Databases,Microsoft,Cloud Provider,Cloud,PaaS
ukwest,microsoft.sql/locations,Azure SQL Database,Databases,Relational Databases,Microsoft,Cloud Provider,Cloud,PaaS
virtual network,microsoft.network/connections,Virtual Network,Networking,Network Infrastructure,Microsoft,Cloud Provider,Cloud,IaaS
virtual network,microsoft.network/p2svpngateways,VPN Gateway,Networking,Network Connectivity,Microsoft,Cloud Provider,Cloud,IaaS
virtual network,microsoft.network/virtualnetworkgateways,Virtual Network,Networking,Network Infrastructure,Microsoft,Cloud Provider,Cloud,IaaS
virtual network,microsoft.network/vpngateways,VPN Gateway,Networking,Network Connectivity,Microsoft,Cloud Provider,Cloud,IaaS
virtualmachines,microsoft.security/pricings,Virtual Machines,Compute,Virtual Machines,Microsoft,Cloud Provider,Cloud,PaaS
westcentralus,microsoft.sql/locations,Azure SQL Database,Databases,Relational Databases,Microsoft,Cloud Provider,Cloud,PaaS
westeurope,microsoft.sql/locations,Azure SQL Database,Databases,Relational Databases,Microsoft,Cloud Provider,Cloud,PaaS
westindia,microsoft.sql/locations,Azure SQL Database,Databases,Relational Databases,Microsoft,Cloud Provider,Cloud,PaaS
westus,microsoft.sql/locations,Azure SQL Database,Databases,Relational Databases,Microsoft,Cloud Provider,Cloud,PaaS
westus2,microsoft.sql/locations,Azure SQL Database,Databases,Relational Databases,Microsoft,Cloud Provider,Cloud,PaaS
