"ResourceType","SingularDisplayName","PluralDisplayName","LowerSingularDisplayName","LowerPluralDisplayName","IsPreview","Description","Icon","Links"
"microsoft.compute/virtualmachinescalesets/virtualmachines/networkinterfaces/ipconfigurations/publicipaddresses","Public IP address","Public IP addresses","Public IP address","Public IP addresses","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.compute/virtualmachinescalesets/virtualmachines/networkinterfaces/ipconfigurations/publicipaddresses.svg",""
"microsoft.compute/virtualmachinescalesetscomputehub","Virtual machine scale set","Virtual machine scale sets","virtual machine scale set","virtual machine scale sets","false","Create a virtual machine scale set to deploy and manage a load balanced set of identical Windows or Linux virtual machines. Use autoscale to automatically scale virtual machine resources in and out.","https://microsoft.github.io/finops-toolkit/svg/microsoft.compute/virtualmachinescalesetscomputehub.svg","[{""title"":""Learn more"",""uri"":""https://go.microsoft.com/fwlink/p/?linkid=848151""}]"
"microsoft.computehub/advisorcost","Recommendations","Recommendations","Recommendations","Recommendations","false","Create VMs that scale, optimize cost and performance, and support a mix of sizes, zones, and regions—all easily managed in one place.","https://microsoft.github.io/finops-toolkit/svg/microsoft.computehub/advisorcost.svg",""
"microsoft.computehub/advisoroperationalexcellence","Recommendations","Recommendations","Recommendations","Recommendations","false","Create VMs that scale, optimize cost and performance, and support a mix of sizes, zones, and regions—all easily managed in one place.","https://microsoft.github.io/finops-toolkit/svg/microsoft.computehub/advisoroperationalexcellence.svg",""
"microsoft.computehub/advisorperformance","Recommendations","Recommendations","Recommendations","Recommendations","false","Create VMs that scale, optimize cost and performance, and support a mix of sizes, zones, and regions—all easily managed in one place.","https://microsoft.github.io/finops-toolkit/svg/microsoft.computehub/advisorperformance.svg",""
"microsoft.computehub/advisorreliability","Recommendations","Recommendations","Recommendations","Recommendations","false","Create VMs that scale, optimize cost and performance, and support a mix of sizes, zones, and regions—all easily managed in one place.","https://microsoft.github.io/finops-toolkit/svg/microsoft.computehub/advisorreliability.svg",""
"microsoft.computehub/advisorsecurity","Recommendations","Recommendations","Recommendations","Recommendations","false","Create VMs that scale, optimize cost and performance, and support a mix of sizes, zones, and regions—all easily managed in one place.","https://microsoft.github.io/finops-toolkit/svg/microsoft.computehub/advisorsecurity.svg",""
"microsoft.computehub/all","All resources","All resources","All resources","All resources","false","Create VMs that scale, optimize cost and performance, and support a mix of sizes, zones, and regions—all easily managed in one place.","https://microsoft.github.io/finops-toolkit/svg/microsoft.computehub/all.svg",""
"microsoft.computehub/backup","Backup job","Backup job","Backup job","Backup job","false","Create VMs that scale, optimize cost and performance, and support a mix of sizes, zones, and regions—all easily managed in one place.","https://microsoft.github.io/finops-toolkit/svg/microsoft.computehub/backup.svg",""
"microsoft.computehub/computehubmain","Compute infrastructure","Compute infrastructure","compute infrastructure","compute infrastructure","false","Create VMs that scale, optimize cost and performance, and support a mix of sizes, zones, and regions—all easily managed in one place.","https://microsoft.github.io/finops-toolkit/svg/microsoft.computehub/computehubmain.svg",""
"microsoft.computehub/healthevents","Health events","Health events","Health events","Health events","false","No resource has availability related health events.","https://microsoft.github.io/finops-toolkit/svg/microsoft.computehub/healthevents.svg",""
"microsoft.computehub/linuxostype","Linux OS","Linux OS","Linux OS","Linux OS","false","Create VMs that scale, optimize cost and performance, and support a mix of sizes, zones, and regions—all easily managed in one place.","https://microsoft.github.io/finops-toolkit/svg/microsoft.computehub/linuxostype.svg",""
"microsoft.computehub/microsoftdefenderfreetrialsubscription","Microsoft defender","Microsoft defender","Microsoft defender","Microsoft defender","false","Create VMs that scale, optimize cost and performance, and support a mix of sizes, zones, and regions—all easily managed in one place.","https://microsoft.github.io/finops-toolkit/svg/microsoft.computehub/microsoftdefenderfreetrialsubscription.svg",""
"microsoft.computehub/microsoftdefenderstandardsubscription","Microsoft defender","Microsoft defender","Microsoft defender","Microsoft defender","false","Create VMs that scale, optimize cost and performance, and support a mix of sizes, zones, and regions—all easily managed in one place.","https://microsoft.github.io/finops-toolkit/svg/microsoft.computehub/microsoftdefenderstandardsubscription.svg",""
"microsoft.computehub/outages","Outages","Outages","Outages","Outages","false","Create VMs that scale, optimize cost and performance, and support a mix of sizes, zones, and regions—all easily managed in one place.","https://microsoft.github.io/finops-toolkit/svg/microsoft.computehub/outages.svg",""
"microsoft.computehub/powerstatedeallocated","Power states","Power states","Power states","Power states","false","Create VMs that scale, optimize cost and performance, and support a mix of sizes, zones, and regions—all easily managed in one place.","https://microsoft.github.io/finops-toolkit/svg/microsoft.computehub/powerstatedeallocated.svg",""
"microsoft.computehub/powerstaterunning","Power states","Power states","Power states","Power states","false","Create VMs that scale, optimize cost and performance, and support a mix of sizes, zones, and regions—all easily managed in one place.","https://microsoft.github.io/finops-toolkit/svg/microsoft.computehub/powerstaterunning.svg",""
"microsoft.computehub/powerstatestopped","Power states","Power states","Power states","Power states","false","Create VMs that scale, optimize cost and performance, and support a mix of sizes, zones, and regions—all easily managed in one place.","https://microsoft.github.io/finops-toolkit/svg/microsoft.computehub/powerstatestopped.svg",""
"microsoft.computehub/provisioningstatefailedresources","Provisioning states","Provisioning states","Provisioning states","Provisioning states","false","Create VMs that scale, optimize cost and performance, and support a mix of sizes, zones, and regions—all easily managed in one place.","https://microsoft.github.io/finops-toolkit/svg/microsoft.computehub/provisioningstatefailedresources.svg",""
"microsoft.computehub/provisioningstatesucceededresources","Provisioning states","Provisioning states","Provisioning states","Provisioning states","false","Create VMs that scale, optimize cost and performance, and support a mix of sizes, zones, and regions—all easily managed in one place.","https://microsoft.github.io/finops-toolkit/svg/microsoft.computehub/provisioningstatesucceededresources.svg",""
"microsoft.computehub/windowsostype","Windows OS","Windows OS","Windows OS","Windows OS","false","Create VMs that scale, optimize cost and performance, and support a mix of sizes, zones, and regions—all easily managed in one place.","https://microsoft.github.io/finops-toolkit/svg/microsoft.computehub/windowsostype.svg",""
"microsoft.computeschedule/autoactions","Automatic Action","Automatic Actions","automatic action","automatic actions","false","Automatic actions allow you to schedule a Start, Stop, or Hibernate on your virtual machines.","https://microsoft.github.io/finops-toolkit/svg/microsoft.computeschedule/autoactions.svg","[{""title"":""Learn more"",""uri"":""https://go.microsoft.com/fwlink/?linkid=2275442""}]"
"microsoft.computeschedule/autoactions/occurrences","Microsoft.ComputeSchedule auto actions occurrence","Microsoft.ComputeSchedule auto actions occurrences","microsoft.computeschedule auto actions occurrence","microsoft.computeschedule auto actions occurrences","false","Concrete proxy resource types can be created by aliasing this type using a specific property type.","https://microsoft.github.io/finops-toolkit/svg/microsoft.computeschedule/autoactions/occurrences.svg",""
"microsoft.confidentialledger/ledgers","Confidential Ledger","Confidential Ledgers","confidential ledger","confidential ledgers","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.confidentialledger/ledgers.svg",""
"microsoft.confidentialledger/managedccfs","Managed CCF App","Managed CCF Apps","managed ccf app","managed ccf apps","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.confidentialledger/managedccfs.svg",""
"microsoft.confluent/agreements","Microsoft.Confluent agreement","Microsoft.Confluent agreements","microsoft.confluent agreement","microsoft.confluent agreements","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.confluent/agreements.svg",""
"microsoft.confluent/organizations","Confluent organization","Apache Kafka® & Apache Flink® on Confluent Cloud™ - An Azure Native ISV Service","Confluent organization","Apache Kafka® & Apache Flink® on Confluent Cloud™ - An Azure Native ISV Service","false","Create a Confluent organization using Azure Marketplace with Pay as you Go or Commits","https://microsoft.github.io/finops-toolkit/svg/microsoft.confluent/organizations.svg","[{""title"":""Get started with Pay as you Go"",""uri"":""https://docs.confluent.io/cloud/current/billing/ccloud-azure-payg.html""},{""title"":""Get started with Commits"",""uri"":""https://docs.confluent.io/cloud/current/billing/ccloud-azure-ubb.html""}]"
"microsoft.connectedcache/cachenodes","Connected Cache for ISP","Connected Cache for ISPs","Connected Cache for ISP","Microsoft Connected Cache for Internet Service Providers","false","Software-only caching solution that delivers Microsoft static content within operator networks.","https://microsoft.github.io/finops-toolkit/svg/microsoft.connectedcache/cachenodes.svg","[{""title"":""Learn more"",""uri"":""https://learn.microsoft.com/windows/deployment/do/waas-microsoft-connected-cache""}]"
"microsoft.connectedcache/enterprisecustomers","Connected Cache for Enterprise & Education","Connected Caches for Enterprise & Education","Connected Cache for Enterprise & Education","Microsoft Connected Cache Enterprise","false","Software-only caching solution that delivers Microsoft static content within operator networks.","https://microsoft.github.io/finops-toolkit/svg/microsoft.connectedcache/enterprisecustomers.svg","[{""title"":""Learn more"",""uri"":""https://learn.microsoft.com/windows/deployment/do/waas-microsoft-connected-cache""}]"
"microsoft.connectedcache/enterprisemcccustomers","Connected Cache for Enterprise & Education","Connected Caches for Enterprise & Education","Connected Cache for Enterprise & Education","Microsoft Connected Caches for Enterprise & Education","false","Consistent experiences across Azure enable users to leverage a few well-known and researched design patterns throughout Azure.","https://microsoft.github.io/finops-toolkit/svg/microsoft.connectedcache/enterprisemcccustomers.svg","[{""title"":""Learn more"",""uri"":""https://learn.microsoft.com/windows/deployment/do/waas-microsoft-connected-cache""}]"
"microsoft.connectedcache/enterprisemcccustomers/enterprisemcccachenodes","MCC CacheNode for Enterprise","MCC CacheNodes for Enterprise","MCC CacheNode for Enterprise","MCC CacheNodes for Enterprise","false","Consistent experiences across Azure enable users to leverage a few well-known and researched design patterns throughout Azure.","https://microsoft.github.io/finops-toolkit/svg/microsoft.connectedcache/enterprisemcccustomers/enterprisemcccachenodes.svg",""
"microsoft.connectedcache/ispcustomers","Connected Cache for ISP","Microsoft Connected Cache for Internet Service Providers","Connected Cache for ISP","Microsoft Connected Cache for Internet Service Providers","false","Software-only caching solution that delivers Microsoft static content within operator networks.","https://microsoft.github.io/finops-toolkit/svg/microsoft.connectedcache/ispcustomers.svg","[{""title"":""Learn more"",""uri"":""https://learn.microsoft.com/windows/deployment/do/waas-microsoft-connected-cache""}]"
"microsoft.connectedcredentials/credentials","Microsoft.ConnectedCredentials credential","Microsoft.ConnectedCredentials credentials","microsoft.connectedcredentials credential","microsoft.connectedcredentials credentials","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.connectedcredentials/credentials.svg",""
"microsoft.connectedvehicle/platformaccounts","Microsoft.ConnectedVehicle platform account","Microsoft.ConnectedVehicle platform accounts","microsoft.connectedvehicle platform account","microsoft.connectedvehicle platform accounts","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.connectedvehicle/platformaccounts.svg",""
"microsoft.connectedvmwarevsphere/clusters","Microsoft.ConnectedVMwarevSphere cluster","Microsoft.ConnectedVMwarevSphere clusters","microsoft.connectedvmwarevsphere cluster","microsoft.connectedvmwarevsphere clusters","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.connectedvmwarevsphere/clusters.svg",""
"microsoft.connectedvmwarevsphere/datastores","Microsoft.ConnectedVMwarevSphere datastore","Microsoft.ConnectedVMwarevSphere datastores","microsoft.connectedvmwarevsphere datastore","microsoft.connectedvmwarevsphere datastores","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.connectedvmwarevsphere/datastores.svg",""
"microsoft.connectedvmwarevsphere/hosts","Microsoft.ConnectedVMwarevSphere host","Microsoft.ConnectedVMwarevSphere hosts","microsoft.connectedvmwarevsphere host","microsoft.connectedvmwarevsphere hosts","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.connectedvmwarevsphere/hosts.svg",""
"microsoft.connectedvmwarevsphere/resourcepools","Microsoft.ConnectedVMwarevSphere resource pool","Microsoft.ConnectedVMwarevSphere resource pools","microsoft.connectedvmwarevsphere resource pool","microsoft.connectedvmwarevsphere resource pools","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.connectedvmwarevsphere/resourcepools.svg",""
"microsoft.connectedvmwarevsphere/vcenters","VMware vCenter","VMware vCenters","VMware vCenter","VMware vCenters","false","Connect your existing VMware vCenter to Azure so you can provision and manage VMs on it through Azure Arc.","https://microsoft.github.io/finops-toolkit/svg/microsoft.connectedvmwarevsphere/vcenters.svg","[{""title"":""Learn more about VMware vCenter"",""uri"":""https://aka.ms/vcenterdocs""}]"
"microsoft.connectedvmwarevsphere/virtualmachineinstances","Microsoft.ConnectedVMwarevSphere virtual machine instance","Microsoft.ConnectedVMwarevSphere virtual machine instances","microsoft.connectedvmwarevsphere virtual machine instance","microsoft.connectedvmwarevsphere virtual machine instances","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.connectedvmwarevsphere/virtualmachineinstances.svg",""
"microsoft.connectedvmwarevsphere/virtualmachineinstances/guestagents","Microsoft.ConnectedVMwarevSphere virtual machine instances guest agent","Microsoft.ConnectedVMwarevSphere virtual machine instances guest agents","microsoft.connectedvmwarevsphere virtual machine instances guest agent","microsoft.connectedvmwarevsphere virtual machine instances guest agents","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.connectedvmwarevsphere/virtualmachineinstances/guestagents.svg",""
"microsoft.connectedvmwarevsphere/virtualmachineinstances/hybrididentitymetadata","Microsoft.ConnectedVMwarevSphere virtual machine instances hybrid identity metadata","Microsoft.ConnectedVMwarevSphere virtual machine instances hybrid identity metadata","microsoft.connectedvmwarevsphere virtual machine instances hybrid identity metadata","microsoft.connectedvmwarevsphere virtual machine instances hybrid identity metadata","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.connectedvmwarevsphere/virtualmachineinstances/hybrididentitymetadata.svg",""
"microsoft.connectedvmwarevsphere/virtualmachines","VMware + AVS virtual machine","VMware + AVS virtual machines","VMware + AVS virtual machine","VMware + AVS virtual machines","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.connectedvmwarevsphere/virtualmachines.svg",""
"microsoft.connectedvmwarevsphere/virtualmachines/providers/guestconfigurationassignments","Guest Assignment","Guest Assignments","guest assignment","guest assignments","false","A guest assignment links a virtual machine to a specific configuration defined by Azure Policy. Use guest assignments to enforce compliance and security policies on your virtual machines, such as ensuring that only certain users have administrative privileges, or that certain software is installed and updated. A guest assignment can also perform actions on your virtual machines, such as installing or removing software, or changing settings.","https://microsoft.github.io/finops-toolkit/svg/microsoft.connectedvmwarevsphere/virtualmachines/providers/guestconfigurationassignments.svg",""
"microsoft.connectedvmwarevsphere/virtualmachinetemplates","Microsoft.ConnectedVMwarevSphere virtual machine template","Microsoft.ConnectedVMwarevSphere virtual machine templates","microsoft.connectedvmwarevsphere virtual machine template","microsoft.connectedvmwarevsphere virtual machine templates","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.connectedvmwarevsphere/virtualmachinetemplates.svg",""
"microsoft.connectedvmwarevsphere/virtualnetworks","Microsoft.ConnectedVMwarevSphere virtual network","Microsoft.ConnectedVMwarevSphere virtual networks","microsoft.connectedvmwarevsphere virtual network","microsoft.connectedvmwarevsphere virtual networks","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.connectedvmwarevsphere/virtualnetworks.svg",""
"microsoft.consumption/budgets","Microsoft.Consumption budget","Microsoft.Consumption budgets","microsoft.consumption budget","microsoft.consumption budgets","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.consumption/budgets.svg",""
"microsoft.consumption/credits","Microsoft.Consumption credit","Microsoft.Consumption credits","microsoft.consumption credit","microsoft.consumption credits","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.consumption/credits.svg",""
"microsoft.consumption/pricesheets","Microsoft.Consumption pricesheet","Microsoft.Consumption pricesheets","microsoft.consumption pricesheet","microsoft.consumption pricesheets","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.consumption/pricesheets.svg",""
"microsoft.containerinstance/containergroupprofiles","Microsoft.ContainerInstance container group profile","Microsoft.ContainerInstance container group profiles","microsoft.containerinstance container group profile","microsoft.containerinstance container group profiles","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.containerinstance/containergroupprofiles.svg",""
"microsoft.containerinstance/containergroupprofiles/revisions","Microsoft.ContainerInstance container group profiles revision","Microsoft.ContainerInstance container group profiles revisions","microsoft.containerinstance container group profiles revision","microsoft.containerinstance container group profiles revisions","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.containerinstance/containergroupprofiles/revisions.svg",""
"microsoft.containerinstance/containergroups","Container instances","Container instances","container instances","container instances","false","Use Azure Container Instances to create and manage Docker containers in Azure without having to set up virtual machines or manage additional infrastructure. To get started, create a container in Azure Container Instances.","https://microsoft.github.io/finops-toolkit/svg/microsoft.containerinstance/containergroups.svg","[{""title"":""Learn more"",""uri"":""https://go.microsoft.com/fwlink/p/?linkid=856649""}]"
"microsoft.containerinstance/ngroups","Microsoft.ContainerInstance ngroup","Microsoft.ContainerInstance ngroups","microsoft.containerinstance ngroup","microsoft.containerinstance ngroups","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.containerinstance/ngroups.svg",""
"microsoft.containerregistry/registries","Container registry","Container registries","container registry","container registries","false","Build, store, secure, scan, replicate, and manage container images and artifacts with a fully managed, geo-replicated instance of OCI distribution. Connect across environments, including Azure Kubernetes Service and Azure Red Hat OpenShift, and across Azure services like App Service, Machine Learning, and Batch.","https://microsoft.github.io/finops-toolkit/svg/microsoft.containerregistry/registries.svg",""
"microsoft.containerregistry/registries/replications","Container registry replication","Container registry replications","container registry replication","container registry replications","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.containerregistry/registries/replications.svg",""
"microsoft.containerregistry/registries/scopemaps","Container registry scope map","Container registry scope maps","container registry scope map","container registry scope maps","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.containerregistry/registries/scopemaps.svg",""
"microsoft.containerregistry/registries/tokens","Container registry token","Container registry tokens","container registry token","container registry tokens","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.containerregistry/registries/tokens.svg",""
"microsoft.containerregistry/registries/webhooks","Container registry webhook","Container registry webhooks","container registry webhook","container registry webhooks","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.containerregistry/registries/webhooks.svg",""
"microsoft.containerservice/fleets","Kubernetes fleet manager","Kubernetes fleet manager","Kubernetes fleet manager","Kubernetes fleet manager","false","Kubernetes Fleet Managers enables multi-cluster and at-scale scenarios for Kubernetes Service clusters. To get started, create a Kubernetes Fleet Manager resource.","https://microsoft.github.io/finops-toolkit/svg/microsoft.containerservice/fleets.svg","[{""title"":""Learn more"",""uri"":""https://go.microsoft.com/fwlink/?linkid=2200949""}]"
"microsoft.containerservice/managedclusters","Kubernetes service","Kubernetes services","Kubernetes service","Kubernetes services","false","Use Azure Kubernetes Service to create and manage Kubernetes clusters. Azure will handle cluster operations, including creating, scaling, and upgrading, freeing up developers to focus on their application. To get started, create a cluster with Azure Kubernetes Service.","https://microsoft.github.io/finops-toolkit/svg/microsoft.containerservice/managedclusters.svg","[{""title"":""Learn more"",""uri"":""https://go.microsoft.com/fwlink/?linkid=872984""}]"
"microsoft.containerservice/managedclusters/managednamespaces","Managed namespace","Managed namespaces","managed namespace","managed namespaces","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.containerservice/managedclusters/managednamespaces.svg",""
"microsoft.containerservice/managedclusters/microsoft.kubernetesconfiguration/extensions","Kubernetes service extension","Kubernetes service extensions","kubernetes service extension","kubernetes service extensions","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.containerservice/managedclusters/microsoft.kubernetesconfiguration/extensions.svg",""
"microsoft.containerservice/managedclusters/microsoft.kubernetesconfiguration/fluxconfigurations","GitOps configuration","GitOps configurations","GitOps configuration","GitOps configurations","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.containerservice/managedclusters/microsoft.kubernetesconfiguration/fluxconfigurations.svg",""
"microsoft.containerservice/managedclusters/microsoft.kubernetesconfiguration/namespaces","Kubernetes namespace","Kubernetes namespaces","Kubernetes namespace","Kubernetes namespaces","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.containerservice/managedclusters/microsoft.kubernetesconfiguration/namespaces.svg",""
"microsoft.containerservice/managedclusters/namespaces","Managed namespace","Managed namespaces","managed namespace","managed namespaces","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.containerservice/managedclusters/namespaces.svg",""
"microsoft.containerservice/managedclustersnapshots","Microsoft.ContainerService managedclustersnapshot","Microsoft.ContainerService managedclustersnapshots","microsoft.containerservice managedclustersnapshot","microsoft.containerservice managedclustersnapshots","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.containerservice/managedclustersnapshots.svg",""
"microsoft.containerservice/snapshots","Microsoft.ContainerService snapshot","Microsoft.ContainerService snapshots","microsoft.containerservice snapshot","microsoft.containerservice snapshots","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.containerservice/snapshots.svg",""
"microsoft.containerstorage/pools","Container storage","Container storages","container storage","container storages","false","Container storage asset description placeholder","https://microsoft.github.io/finops-toolkit/svg/microsoft.containerstorage/pools.svg","[{""title"":""Learn more about container storage"",""uri"":""https://microsoft.com""}]"
"microsoft.costmanagement/alerts","Microsoft.CostManagement alert","Microsoft.CostManagement alerts","microsoft.costmanagement alert","microsoft.costmanagement alerts","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.costmanagement/alerts.svg",""
"microsoft.costmanagement/budgets","Microsoft.CostManagement budget","Microsoft.CostManagement budgets","microsoft.costmanagement budget","microsoft.costmanagement budgets","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.costmanagement/budgets.svg",""
"microsoft.costmanagement/cloudconnectors","Microsoft.CostManagement cloud connector","Microsoft.CostManagement cloud connectors","microsoft.costmanagement cloud connector","microsoft.costmanagement cloud connectors","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.costmanagement/cloudconnectors.svg",""
"microsoft.costmanagement/connectors","Microsoft.CostManagement connector","Microsoft.CostManagement connectors","microsoft.costmanagement connector","microsoft.costmanagement connectors","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.costmanagement/connectors.svg",""
"microsoft.costmanagement/costallocationrules","Microsoft.CostManagement cost allocation rule","Microsoft.CostManagement cost allocation rules","microsoft.costmanagement cost allocation rule","microsoft.costmanagement cost allocation rules","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.costmanagement/costallocationrules.svg",""
"microsoft.costmanagement/costdetailsoperationresults","Microsoft.CostManagement cost details operation result","Microsoft.CostManagement cost details operation results","microsoft.costmanagement cost details operation result","microsoft.costmanagement cost details operation results","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.costmanagement/costdetailsoperationresults.svg",""
"microsoft.costmanagement/exports","Microsoft.CostManagement export","Microsoft.CostManagement exports","microsoft.costmanagement export","microsoft.costmanagement exports","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.costmanagement/exports.svg",""
"microsoft.costmanagement/externalbillingaccounts","Microsoft.CostManagement external billing account","Microsoft.CostManagement external billing accounts","microsoft.costmanagement external billing account","microsoft.costmanagement external billing accounts","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.costmanagement/externalbillingaccounts.svg",""
"microsoft.costmanagement/externalsubscriptions","Microsoft.CostManagement external subscription","Microsoft.CostManagement external subscriptions","microsoft.costmanagement external subscription","microsoft.costmanagement external subscriptions","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.costmanagement/externalsubscriptions.svg",""
"microsoft.costmanagement/markuprules","Microsoft.CostManagement markup rule","Microsoft.CostManagement markup rules","microsoft.costmanagement markup rule","microsoft.costmanagement markup rules","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.costmanagement/markuprules.svg",""
"microsoft.costmanagement/operationstatus","Microsoft.CostManagement operation statu","Microsoft.CostManagement operation status","microsoft.costmanagement operation statu","microsoft.costmanagement operation status","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.costmanagement/operationstatus.svg",""
"microsoft.costmanagement/reportconfigs","Microsoft.CostManagement reportconfig","Microsoft.CostManagement reportconfigs","microsoft.costmanagement reportconfig","microsoft.costmanagement reportconfigs","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.costmanagement/reportconfigs.svg",""
"microsoft.costmanagement/reports","Microsoft.CostManagement report","Microsoft.CostManagement reports","microsoft.costmanagement report","microsoft.costmanagement reports","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.costmanagement/reports.svg",""
"microsoft.costmanagement/scheduledactions","Microsoft.CostManagement scheduled action","Microsoft.CostManagement scheduled actions","microsoft.costmanagement scheduled action","microsoft.costmanagement scheduled actions","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.costmanagement/scheduledactions.svg",""
"microsoft.costmanagement/settings","Microsoft.CostManagement setting","Microsoft.CostManagement settings","microsoft.costmanagement setting","microsoft.costmanagement settings","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.costmanagement/settings.svg",""
"microsoft.costmanagement/views","Microsoft.CostManagement view","Microsoft.CostManagement views","microsoft.costmanagement view","microsoft.costmanagement views","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.costmanagement/views.svg",""
"microsoft.customerlockbox/requests","Microsoft.CustomerLockbox request","Microsoft.CustomerLockbox requests","microsoft.customerlockbox request","microsoft.customerlockbox requests","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.customerlockbox/requests.svg",""
"microsoft.customerlockbox/tenantoptedin","Microsoft.CustomerLockbox tenant opted in","Microsoft.CustomerLockbox tenant opted in","microsoft.customerlockbox tenant opted in","microsoft.customerlockbox tenant opted in","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.customerlockbox/tenantoptedin.svg",""
"microsoft.customproviders/associations","Microsoft.CustomProviders association","Microsoft.CustomProviders associations","microsoft.customproviders association","microsoft.customproviders associations","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.customproviders/associations.svg",""
"microsoft.customproviders/resourceproviders","Microsoft.CustomProviders resource provider","Microsoft.CustomProviders resource providers","microsoft.customproviders resource provider","microsoft.customproviders resource providers","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.customproviders/resourceproviders.svg",""
"microsoft.dashboard/dashboards","Azure Monitor dashboards with Grafana","Azure Monitor dashboards with Grafana","Azure Monitor dashboards with Grafana","Azure Monitor dashboards with Grafana","false","Azure Monitor dashboards with Grafana enable you to view, create and edit Grafana dashboards within the Azure Portal.","https://microsoft.github.io/finops-toolkit/svg/microsoft.dashboard/dashboards.svg","[{""title"":""Learn more about Dashboards with Grafana"",""uri"":""http://aka.ms/DashboardsWithGrafanaDocs""}]"
"microsoft.dashboard/grafana","Azure Managed Grafana","Azure Managed Grafana","Azure Managed Grafana","Azure Managed Grafana","false","Run a fully managed instance of Grafana that's automatically connected to your Azure resources.","https://microsoft.github.io/finops-toolkit/svg/microsoft.dashboard/grafana.svg",""
"microsoft.dataaccelerator/indexclusters","Microsoft.DataAccelerator index cluster","Microsoft.DataAccelerator index clusters","microsoft.dataaccelerator index cluster","microsoft.dataaccelerator index clusters","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.dataaccelerator/indexclusters.svg",""
"microsoft.databasefleetmanager/fleets","Database fleet manager","Database fleet managers","database fleet manager","database fleet managers","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.databasefleetmanager/fleets.svg",""
"microsoft.databasefleetmanager/fleets/fleetspaces","Fleetspaces","Fleetspaces","fleetspaces","fleetspaces","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.databasefleetmanager/fleets/fleetspaces.svg",""
"microsoft.databasefleetmanager/fleets/fleetspaces/databases","Fleet managed database","Fleet managed databases","fleet managed database","fleet managed databases","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.databasefleetmanager/fleets/fleetspaces/databases.svg",""
"microsoft.databasefleetmanager/fleets/tiers","tier","Tiers","tier","tiers","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.databasefleetmanager/fleets/tiers.svg",""
